"Script name","Price","Absolute Price Difference","Percentage Price Difference","Date","Time","Time Zone","S&P/TSX","S&P/TSX Absolute Price Difference","S&P/TSX Percentage Price Difference","S&P/TSX","S&P 500 Absolute Price Difference","S&P 500 Percentage Price Difference"
"CGI Inc. (GIB-A.TO)","104.81","+1.30 ","(+1.26%)","2019-09-19 ","11:35AM ","EDT. ","16,894.42","+94.13","+0.56%","3,017.63","+10.90","+0.36%"
"CGI Inc. (GIB-A.TO)","104.91","+1.40 ","(+1.35%)","2019-09-19 ","11:41AM ","EDT. ","16,897.17","+96.88","+0.58%","3,017.51","+10.78","+0.36%"
"CGI Inc. (GIB-A.TO)","104.90","+1.39 ","(+1.34%)","2019-09-19 ","11:47AM ","EDT. ","16,895.37","+95.08","+0.57%","3,019.24","+12.51","+0.42%"
"CGI Inc. (GIB-A.TO)","104.83","+1.32 ","(+1.28%)","2019-09-19 ","11:53AM ","EDT. ","16,891.82","+91.53","+0.54%","3,019.24","+12.51","+0.42%"
"CGI Inc. (GIB-A.TO)","104.93","+1.42 ","(+1.37%)","2019-09-19 ","11:58AM ","EDT. ","16,896.75","+96.46","+0.57%","3,019.67","+12.94","+0.43%"
"CGI Inc. (GIB-A.TO)","105.07","+1.56 ","(+1.51%)","2019-09-19 ","12:05PM ","EDT. ","16,900.14","+99.85","+0.59%","3,017.63","+10.90","+0.36%"
"CGI Inc. (GIB-A.TO)","105.04","+1.53 ","(+1.48%)","2019-09-19 ","12:11PM ","EDT. ","16,895.98","+95.69","+0.57%","3,017.07","+10.34","+0.34%"
"CGI Inc. (GIB-A.TO)","104.89","+1.38 ","(+1.33%)","2019-09-19 ","12:17PM ","EDT. ","16,895.52","+95.23","+0.57%","3,013.71","+6.98","+0.23%"
"CGI Inc. (GIB-A.TO)","104.83","+1.32 ","(+1.28%)","2019-09-19 ","12:23PM ","EDT. ","16,891.01","+90.72","+0.54%","3,014.56","+7.83","+0.26%"
"CGI Inc. (GIB-A.TO)","104.56","+1.05 ","(+1.01%)","2019-09-19 ","12:29PM ","EDT. ","16,880.45","+80.16","+0.48%","3,015.42","+8.69","+0.29%"
